Combinations List
Safe	Peg		Key
(001)	(019)	1
(011)	(009)	1
(102)	(029)	2
(112)	(019)	2
(121)	(109)	1
(122)	(009)	2
(231)	(209)	1
(232)	(109)	2
(341)	(309)	1
(342)	(209)	2
(451)	(409)	1
(452)	(309)	2
(506)	(069)	6
(536)	(039)	6
(546)	(029)	6
(556)	(019)	6
(562)	(409)	2
(566)	(009)	6
(607)	(079)	7
(617)	(069)	7
(647)	(039)	7
(657)	(029)	7
(667)	(019)	7
(671)	(609)	1
(676)	(109)	6
(677)	(009)	7
(781)	(709)	1
(782)	(609)	2
(786)	(209)	6
(787)	(109)	7
(891)	(809)	1
(892)	(709)	2
(896)	(309)	6
(897)	(209)	7
